year,month,day,catch_scrubbed,trips_scrubbed
2001,9,12,23944,153
2001,9,13,20972,133
2001,9,14,16757,105
2001,9,15,5530,24
2001,9,16,16131,92
2001,9,17,33740,160
2001,9,18,31837,151
2001,9,19,23688,126
2001,9,20,22709,113
2001,9,21,15900,89
2001,9,22,6578,40
2001,9,23,9141,66
2001,9,24,19797,124
2001,9,25,19158,124
2001,9,26,20165,133
2001,9,27,16060,122
2001,9,28,10081,83
2001,9,29,3702,31
2001,9,30,7889,44
2001,10,1,18259,116
2001,10,2,16414,110
2001,10,3,12888,97
2001,10,4,12102,86
2001,10,5,13291,76
2001,10,6,5051,31
2001,10,7,11567,65
2001,10,8,14931,110
2001,10,9,15866,102
2001,10,10,15063,109
2001,10,11,11860,91
2001,10,12,9535,74
2001,10,13,4322,35
2001,10,14,4920,48
2001,10,15,16747,98
2001,10,16,17150,108
2001,10,17,13203,96
2001,10,18,12481,86
2001,10,19,9692,71
2001,10,20,5524,38
2001,10,21,9278,48
2001,10,22,19738,108
2001,10,23,16188,102
2001,10,24,15617,94
2001,10,25,12864,92
2001,10,26,9142,64
2001,10,27,3415,25
2001,10,28,10588,55
2001,10,29,27203,96
2001,10,30,18403,85
2001,10,31,14362,71
2001,11,1,13207,62
2001,11,2,10876,55
2001,11,3,5133,17
2001,11,4,4905,30
2001,11,5,9658,59
2001,11,6,6816,49
2001,11,7,9897,59
2001,11,8,7968,51
2001,11,9,6837,43
2001,11,10,859.9,12
2001,11,11,731.1,8
2001,11,12,4907,21
2001,11,13,3262,22
2001,11,14,2557,21
2001,11,15,1469,14
2001,11,16,1440,9
2001,11,17,1330,7
2001,11,18,1632,11
2001,11,19,2306,20
2001,11,20,2807,24
2001,11,21,2915,21
2001,11,22,2669,17
2001,11,23,2053,15
2001,11,24,332.9,< 4
2001,11,25,917.4,14
2001,11,26,1541,22
2001,11,27,972,15
2001,11,28,1254,20
2001,11,29,539.8,12
2001,11,30,1085,12
2001,12,1,293,4
2001,12,2,696.4,6
2001,12,3,1594,12
2001,12,4,1272,18
2001,12,5,1068,15
2001,12,6,1239,16
2001,12,7,1077,12
2001,12,8,276.7,< 4
2001,12,9,< 200,< 4
2001,12,10,771.8,9
2001,12,11,1264,12
2001,12,12,1188,13
2001,12,13,1599,15
2001,12,14,926.6,10
2001,12,15,1351,9
2001,12,16,1182,9
2001,12,17,4621,16
2001,12,18,1132,10
2001,12,19,1753,10
2001,12,20,1828,10
2001,12,21,1528,9
2001,12,22,2355,7
2001,12,23,310.7,< 4
2001,12,24,878.5,< 4
2001,12,25,0,0
2001,12,26,0,0
2001,12,27,0,0
2001,12,28,< 200,< 4
2001,12,29,< 200,< 4
2001,12,30,< 200,< 4
2001,12,31,< 200,< 4
2002,1,1,239.7,4
2002,1,2,219.5,< 4
2002,1,3,219.5,< 4
2002,1,4,< 200,< 4
2002,1,5,403.1,< 4
2002,1,6,317.5,< 4
2002,1,7,347.5,4
2002,1,8,< 200,< 4
2002,1,9,< 200,< 4
2002,1,10,445.2,< 4
2002,1,11,367.4,< 4
2002,1,12,367.4,< 4
2002,1,13,367.4,< 4
2002,1,14,367.4,< 4
2002,1,15,367.4,< 4
2002,1,16,367.4,< 4
2002,1,17,0,0
2002,1,18,0,0
2002,1,19,0,0
2002,1,20,0,0
2002,1,21,0,0
2002,1,22,< 200,< 4
2002,1,23,< 200,< 4
2002,1,24,< 200,< 4
2002,1,25,< 200,< 4
2002,1,26,0,0
2002,1,27,< 200,< 4
2002,1,28,< 200,< 4
2002,1,29,< 200,< 4
2002,1,30,< 200,< 4
2002,1,31,< 200,< 4
2002,2,1,< 200,< 4
2002,2,2,< 200,< 4
2002,2,3,< 200,< 4
2002,2,4,< 200,< 4
2002,2,5,< 200,< 4
2002,2,6,< 200,< 4
2002,2,7,< 200,< 4
2002,2,8,< 200,< 4
2002,2,9,< 200,< 4
2002,2,10,< 200,< 4
2002,2,11,< 200,< 4
2002,2,12,< 200,< 4
2002,2,13,< 200,< 4
2002,2,14,< 200,< 4
2002,2,15,< 200,< 4
2002,2,16,0,0
2002,2,17,0,0
2002,2,18,0,0
2002,2,19,0,0
2002,2,20,0,0
2002,2,21,0,0
2002,2,22,< 200,< 4
2002,2,23,< 200,< 4
2002,2,24,< 200,< 4
2002,2,25,< 200,< 4
2002,2,26,0,0
2002,2,27,0,0
2002,2,28,< 200,< 4
2002,3,1,0,0
2002,3,2,< 200,< 4
2002,3,3,0,0
2002,3,4,0,0
2002,3,5,0,0
2002,3,6,0,0
2002,3,7,0,0
2002,3,8,< 200,< 4
2002,3,9,0,0
2002,3,10,< 200,< 4
2002,3,11,< 200,< 4
2002,3,12,307.5,4
2002,3,13,266,6
2002,3,14,356.5,8
2002,3,15,624.4,8
2002,3,16,< 200,< 4
2002,3,17,1164,9
2002,3,18,904.5,16
2002,3,19,581,15
2002,3,20,690,15
2002,3,21,211.5,9
2002,3,22,< 200,< 4
2002,3,23,0,0
2002,3,24,761.3,18
2002,3,25,1354,26
2002,3,26,1292,18
2002,3,27,1669,22
2002,3,28,1390,22
2002,3,29,1697,19
2002,3,30,0,0
2002,3,31,2057,17
2002,4,1,3106,36
2002,4,2,2877,39
2002,4,3,2456,40
2002,4,4,1081,25
2002,4,5,405.8,6
2002,4,6,< 200,< 4
2002,4,7,1575,30
2002,4,8,3056,49
2002,4,9,3332,52
2002,4,10,2907,47
2002,4,11,1384,31
2002,4,12,1621,31
2002,4,13,< 200,< 4
2002,4,14,3157,38
2002,4,15,4159,65
2002,4,16,3483,55
2002,4,17,3306,51
2002,4,18,2567,49
2002,4,19,2107,32
2002,4,20,434.9,5
2002,4,21,6776,54
2002,4,22,5565,72
2002,4,23,6304,66
2002,4,24,7068,68
2002,4,25,6147,66
2002,4,26,4605,40
2002,4,27,1555,10
2002,4,28,4376,46
2002,4,29,9064,86
2002,4,30,10555,85
2002,5,1,9767,88
2002,5,2,11136,74
2002,5,3,6634,44
2002,5,4,1888,15
2002,5,5,10082,70
2002,5,6,13199,105
2002,5,7,13144,99
2002,5,8,11888,100
2002,5,9,12157,94
2002,5,10,9360,56
2002,5,11,2386,22
2002,5,12,11605,72
2002,5,13,12053,96
2002,5,14,21215,101
2002,5,15,21332,124
2002,5,16,17777,122
2002,5,17,18412,100
2002,5,18,8461,29
2002,5,19,17675,80
2002,5,20,21044,114
2002,5,21,19094,103
2002,5,22,9781,75
2002,5,23,11473,83
2002,5,24,11393,72
2002,5,25,3485,20
2002,5,26,14340,83
2002,5,27,18102,106
2002,5,28,19362,104
2002,5,29,21987,98
2002,5,30,17686,95
2002,5,31,18077,84
2002,6,1,2985,14
2002,6,2,32185,119
